Name,Drive,Manufacturer,KWH,NumberofSeats,KWH_without_kwh,Acceleration_wtihout_sec,TopSpeed_wtihout_kmperhour,Range_wtihout_km,Efficiency_wtihout_Whperkm,FastChargeSpeed_wtihout_KMperHour,PriceinGermany,PriceinUK
Opel Ampera-e ,Front Wheel Drive,Opel,       58 kWh ,5,58.0,7.3,150,335,173,210,42990.0,36541.5
Renault Kangoo Maxi ZE 33,Front Wheel Drive,Renault,       31 kWh ,5,31.0,22.4,130,160,194,0,0.0,31680.0
Nissan Leaf ,Front Wheel Drive,Nissan,       36 kWh ,5,36.0,7.9,144,220,164,230,29990.0,25995.0
Audi e-tron Sportback 55 quattro,All Wheel Drive,Audi,       86.5 kWh,5,86.5,5.7,200,375,231,600,0.0,79900.0
Porsche Taycan Turbo S,All Wheel Drive,Porsche,       83.7 kWh,4,83.7,2.8,260,390,215,860,186336.0,138830.0
Nissan e-NV200 Evalia ,Front Wheel Drive,Nissan,       36 kWh ,7,36.0,14.0,123,165,218,170,43433.0,30255.0
Volkswagen ID.3 Pure Performance,Rear Wheel Drive,Volkswagen,       45 kWh,5,45.0,8.9,160,275,164,260,31960.0,27120.0
BMW iX3 ,Rear Wheel Drive,BMW,       74 kWh,5,74.0,6.8,180,385,192,520,66300.0,58850.0
Nissan Leaf e+,Front Wheel Drive,Nissan,       56 kWh ,5,56.0,7.3,157,325,172,390,38350.0,30445.0
BMW i3 120 Ah,Rear Wheel Drive,BMW,       37.9 kWh,4,37.9,7.3,150,235,161,270,39000.0,31305.0
Mercedes EQA 250,Front Wheel Drive,Mercedes,       66.5 kWh,5,66.5,8.9,160,355,187,420,47541.0,43495.0
DS 3 Crossback E-Tense,Front Wheel Drive,DS,       45 kWh ,5,45.0,8.7,150,250,180,330,30040.0,31500.0
BMW i3s 120 Ah,Rear Wheel Drive,BMW,       37.9 kWh,4,37.9,6.9,160,230,165,260,42600.0,32305.0
Sono Sion ,Front Wheel Drive,Sono,       47 kWh ,5,47.0,9.0,140,260,181,310,25500.0,21675.0
Audi e-tron GT RS,All Wheel Drive,Audi,       85 kWh,4,85.0,3.3,250,405,210,810,138200.0,110950.0
